booked_at,account_id,counterparty_name,amount,currency,description
2025-07-13,COMM-001,Restaurant Roma,-40.09,EUR,dining
2025-07-15,REV-001,Netflix Inc.,-15.99,EUR,entertainment
2025-07-17,REV-001,Pharmacy Central,-23.26,EUR,health
2025-07-25,PERS-001,OP-Korttiyhtiö Oyj,-199.19,EUR,OP Gold payment
2025-08-03,PERS-001,Employer Corp,3200.00,EUR,Monthly salary
2025-08-04,PERS-001,Demo Shared Household,-987.47,EUR,Own transfer
2025-08-05,COMM-001,Demo Personal Household,987.47,EUR,Shared household transfer
2025-08-05,PERS-001,Revolut Top Up,-170.06,EUR,Card top up
2025-08-05,REV-001,Google Pay deposit by *8221,170.06,EUR,Top up
2025-08-07,COMM-001,Supermarket Plus,-307.75,EUR,groceries
2025-08-09,COMM-001,City Power,-82.44,EUR,utilities
2025-08-11,COMM-001,Metro Transport,-58.83,EUR,transport
2025-08-13,COMM-001,Restaurant Roma,-48.70,EUR,dining
2025-08-15,REV-001,Netflix Inc.,-15.99,EUR,entertainment
2025-08-17,REV-001,Pharmacy Central,-23.88,EUR,health
2025-08-25,PERS-001,OP-Korttiyhtiö Oyj,-201.42,EUR,OP Gold payment
2025-09-03,PERS-001,Employer Corp,3200.00,EUR,Monthly salary
2025-09-04,PERS-001,Demo Shared Household,-968.88,EUR,Own transfer
2025-09-05,COMM-001,Demo Personal Household,968.88,EUR,Shared household transfer
2025-09-05,PERS-001,Revolut Top Up,-179.51,EUR,Card top up
2025-09-05,REV-001,Google Pay deposit by *8221,179.51,EUR,Top up
2025-09-07,COMM-001,Supermarket Plus,-278.76,EUR,groceries
2025-09-09,COMM-001,City Power,-79.42,EUR,utilities
2025-09-11,COMM-001,Metro Transport,-54.25,EUR,transport
2025-09-13,COMM-001,Restaurant Roma,-44.60,EUR,dining
2025-09-15,REV-001,Netflix Inc.,-15.99,EUR,entertainment
2025-09-17,REV-001,Pharmacy Central,-26.03,EUR,health
2025-09-25,PERS-001,OP-Korttiyhtiö Oyj,-193.36,EUR,OP Gold payment
2025-10-03,PERS-001,Employer Corp,3200.00,EUR,Monthly salary
2025-10-04,PERS-001,Demo Shared Household,-964.88,EUR,Own transfer
2025-10-05,COMM-001,Demo Personal Household,964.88,EUR,Shared household transfer
2025-10-05,PERS-001,Revolut Top Up,-155.44,EUR,Card top up
2025-10-05,REV-001,Google Pay deposit by *8221,155.44,EUR,Top up
2025-10-07,COMM-001,Supermarket Plus,-262.77,EUR,groceries
2025-10-09,COMM-001,City Power,-91.75,EUR,utilities
2025-10-11,COMM-001,Metro Transport,-67.91,EUR,transport
2025-10-13,COMM-001,Restaurant Roma,-50.63,EUR,dining
2025-10-15,REV-001,Netflix Inc.,-15.99,EUR,entertainment
2025-10-17,REV-001,Pharmacy Central,-18.41,EUR,health
2025-10-25,PERS-001,OP-Korttiyhtiö Oyj,-215.89,EUR,OP Gold payment
2025-11-03,PERS-001,Employer Corp,3200.00,EUR,Monthly salary
2025-11-04,PERS-001,Demo Shared Household,-937.40,EUR,Own transfer
2025-11-05,COMM-001,Demo Personal Household,937.40,EUR,Shared household transfer
2025-11-05,PERS-001,Revolut Top Up,-172.57,EUR,Card top up
2025-11-05,REV-001,Google Pay deposit by *8221,172.57,EUR,Top up
2025-11-07,COMM-001,Supermarket Plus,-279.04,EUR,groceries
2025-11-09,COMM-001,City Power,-97.05,EUR,utilities
2025-11-11,COMM-001,Metro Transport,-56.53,EUR,transport
2025-11-13,COMM-001,Restaurant Roma,-52.84,EUR,dining
2025-11-15,REV-001,Netflix Inc.,-15.99,EUR,entertainment
2025-11-17,REV-001,Pharmacy Central,-25.66,EUR,health
2025-11-25,PERS-001,OP-Korttiyhtiö Oyj,-217.37,EUR,OP Gold payment
2025-12-03,PERS-001,Employer Corp,3200.00,EUR,Monthly salary
2025-12-04,PERS-001,Demo Shared Household,-978.27,EUR,Own transfer
2025-12-05,COMM-001,Demo Personal Household,978.27,EUR,Shared household transfer
2025-12-05,PERS-001,Revolut Top Up,-165.08,EUR,Card top up
2025-12-05,REV-001,Google Pay deposit by *8221,165.08,EUR,Top up
2025-12-07,COMM-001,Supermarket Plus,-253.00,EUR,groceries
2025-12-09,COMM-001,City Power,-86.18,EUR,utilities
2025-12-11,COMM-001,Metro Transport,-65.49,EUR,transport
2025-12-13,COMM-001,Restaurant Roma,-52.05,EUR,dining
2025-12-15,REV-001,Netflix Inc.,-15.99,EUR,entertainment
2025-12-17,REV-001,Pharmacy Central,-22.94,EUR,health
2025-12-25,PERS-001,OP-Korttiyhtiö Oyj,-229.37,EUR,OP Gold payment
